,Player,Team,DYAR,YAR,Rk.1,DVOA,Rk.2,VOA,QBR,Rk.3,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
0,Roethlisberger,PIT,"1,572","1,505",2,26.8%,4,25.1%,72.5,6,636,"4,761","5,483",32,2,4,9,68.2%,8/156
1,Rodgers,GB,"1,564","1,581",1,32.2%,1,32.7%,82.6,3,550,"4,168","5,035",38,6,2,5,65.8%,7/173
2,Manning,DEN,"1,412","1,358",3,23.9%,5,22.6%,77.3,4,615,"4,589","5,166",39,3,2,15,66.5%,10/158
3,Brees,NO,"1,225","1,224",5,15.7%,7,15.7%,71.6,7,684,"4,750","5,342",33,4,3,17,69.8%,8/145
4,Romo,DAL,"1,187","1,266",4,27.6%,3,30.1%,82.8,1,465,"3,441","4,085",34,3,3,9,70.3%,6/147
5,Brady,NE,"1,176","1,096",6,18.1%,6,16.1%,74.3,5,602,"3,950","4,839",33,1,3,9,64.4%,11/182
6,Ryan,ATL,"1,101","1,072",7,14.9%,9,14.2%,67.0,10,654,"4,491","4,907",28,2,2,13,66.6%,3/42
7,Flacco,BAL,987,962,8,15.5%,8,14.9%,67.3,9,569,"3,825","4,324",27,2,0,12,63.0%,14/283
8,Rivers,SD,918,803,10,12.6%,10,9.6%,66.8,11,609,"4,086","4,365",31,5,2,16,67.0%,8/145
9,Luck,IND,879,829,9,9.2%,11,8.0%,63.8,13,645,"4,573","4,681",40,5,5,16,62.1%,8/158
10,Manning,NYG,642,735,11,4.6%,16,6.8%,70.9,8,628,"4,231","4,164",30,3,4,14,63.3%,10/165
11,Tannehill,MIA,630,566,12,4.1%,18,2.6%,59.1,16,637,"3,713","4,178",27,4,1,12,66.7%,8/131
12,Wilson,SEA,503,488,15,5.5%,14,5.0%,62.5,14,495,"3,241","3,128",20,6,0,7,63.4%,2/80
13,Smith,KC,493,527,14,4.1%,19,5.1%,49.4,28,511,"3,039","3,285",19,0,1,6,65.5%,0/0
14,Stafford,DET,423,544,13,-0.7%,21,2.3%,55.1,24,645,"3,998","3,815",22,3,2,12,60.9%,7/119
15,ayer,Team,DYAR,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
16,Cutler,CHI,398,351,18,-0.7%,22,-2.0%,54.0,25,602,"3,554","3,622",29,3,6,15,66.0%,9/192
17,Fitzpatrick,HOU,383,485,16,6.7%,13,11.4%,55.3,22,334,"2,393","2,249",17,3,1,8,63.3%,6/65
18,Palmer,ARI,285,400,17,8.5%,12,16.4%,64.8,12,235,"1,562","1,556",11,0,1,3,63.3%,4/86
19,Foles,PHI,264,280,20,1.8%,20,2.6%,62.2,15,322,"2,108","2,009",13,1,2,10,60.4%,4/113
