Player,Team,DYAR,YAR,Rk.1,DVOA,Rk.2,VOA,QBR,Rk.3,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
,Palmer,ARI,"1,698","1,755",1,34.4%,1,36.0%,82.2,1,557,"4,495","5,310",35,2,2,11,64.5%,16/253
,Brady,NE,"1,312","1,269",2,19.5%,5,18.5%,64.4,11,660,"4,536","5,234",36,3,2,7,64.6%,10/233
,Wilson,SEA,"1,190","1,159",4,24.3%,3,23.4%,74.9,4,526,"3,744","4,311",34,1,2,8,68.7%,2/30
,Dalton,CIN,"1,135","1,059",6,31.7%,2,28.9%,73.1,5,409,"3,103","3,676",26,2,2,7,66.1%,5/107
,Roethlisberger,PIT,"1,114","1,056",7,22.1%,4,20.4%,76.9,2,489,"3,809","4,214",21,0,0,16,68.2%,14/297
,Brees,NO,"1,111","1,184",3,15.8%,7,17.5%,75.5,3,657,"4,625","4,838",32,2,2,11,68.6%,1/37
,Cousins,WAS,"1,023","1,125",5,16.9%,6,19.7%,70.1,6,570,"3,979","4,329",29,2,3,11,69.8%,6/112
,Rivers,SD,847,780,9,7.8%,11,6.3%,59.4,20,704,"4,503","4,755",29,2,2,13,66.5%,8/102
,Stafford,DET,804,637,12,8.0%,10,4.1%,62.6,14,637,"3,979","4,467",32,1,2,13,67.6%,6/89
,Cutler,CHI,659,556,13,8.6%,9,5.5%,60.7,17,512,"3,499","3,587",21,1,5,11,64.5%,9/191
0,Newton,CAR,630,855,8,7.6%,12,14.3%,66.0,9,526,"3,558","3,567",35,0,1,10,60.0%,3/64
1,Carr,OAK,582,428,17,4.1%,13,0.0%,49.2,26,603,"3,763","3,871",32,3,1,13,61.3%,8/165
2,Fitzpatrick,NYJ,542,670,10,3.5%,14,7.0%,63.6,12,583,"3,779","3,714",31,2,2,15,59.6%,4/88
3,ayer,Team,DYAR,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
4,Taylor,BUF,536,486,16,9.8%,8,7.9%,67.8,7,417,"2,810","2,790",20,5,1,6,63.7%,3/98
5,Smith,KC,468,359,19,3.0%,15,-0.3%,66.5,8,516,"3,243","3,303",20,2,0,7,65.5%,4/90
6,Winston,TB,467,495,15,2.1%,16,2.9%,58.6,21,560,"3,828","3,480",22,2,1,15,58.9%,6/153
7,Rodgers,GB,406,258,20,-1.0%,17,-4.7%,64.9,10,617,"3,489","3,802",31,4,4,8,60.9%,14/364
8,Manning,NYG,404,535,14,-1.9%,19,1.1%,60.5,18,646,"4,225","4,063",35,5,3,14,62.9%,13/192
9,Ryan,ATL,389,669,11,-1.9%,18,4.8%,61.8,15,647,"4,372","3,911",21,6,5,15,66.4%,6/74
0,Hoyer,HOU,201,372,18,-3.0%,20,3.9%,59.6,19,394,"2,400","2,266",19,4,2,5,61.0%,1/10
1,Bridgewater,MIN,187,93,25,-5.1%,22,-8.1%,62.7,13,491,"2,923","2,745",14,3,2,9,65.3%,6/116
2,Osweiler,DEN,153,140,22,-3.2%,21,-3.9%,48.8,27,299,"1,813","1,765",10,2,1,6,61.8%,3/58
3,McCown,CLE,110,81,26,-5.8%,23,-7.2%,53.9,25,315,"1,963","1,804",12,2,4,4,63.7%,1/6
4,Bradford,PHI,107,221,21,-8.2%,24,-5.0%,41.8,34,560,"3,512","3,027",19,4,1,14,65.3%,11/176
5,Bortles,JAC,54,100,24,-9.9%,25,-8.8%,46.4,30,657,"4,089","3,549",35,7,4,18,58.9%,8/145
6,Tannehill,MIA,20,67,27,-10.6%,27,-9.4%,43.2,32,632,"3,817","3,204",24,5,5,12,62.2%,7/109
7,ayer,Team,DYAR,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
8,Flacco,BAL,17,55,29,-10.5%,26,-9.1%,40.9,35,428,"2,637","2,213",14,3,2,12,65.2%,3/31
9,Mallett,2TM,-33,-127,31,-13.2%,29,-19.2%,55.1,22,248,"1,282","1,227",5,0,0,6,56.7%,1/11
0,Hasselbeck,IND,-41,57,28,-13.4%,30,-8.0%,55.1,23,273,"1,588","1,424",9,1,2,5,61.3%,5/52
1,Mariota,TEN,-53,123,23,-13.2%,28,-6.4%,61.0,16,407,"2,551","2,017",19,3,6,10,62.5%,10/120
2,Gabbert,SF,-85,-118,30,-15.6%,31,-17.4%,42.6,33,308,"1,866","1,416",10,2,1,7,63.1%,3/28
3,Manziel,CLE,-105,-179,32,-18.4%,33,-23.4%,54.7,24,241,"1,350","1,048",7,3,3,5,58.4%,1/2
4,Luck,IND,-126,-189,33,-17.5%,32,-20.6%,47.6,28,306,"1,783","1,435",15,2,0,12,55.9%,1/18
5,Cassel,DAL,-172,-210,34,-23.7%,35,-26.5%,33.7,36,216,"1,190",866,5,2,0,6,58.9%,4/32
6,Kaepernick,SF,-182,-249,35,-21.5%,34,-25.3%,47.1,29,273,"1,446","1,168",6,1,1,5,59.0%,1/28
7,Manning,DEN,-326,-317,36,-25.8%,36,-25.4%,45.0,31,346,"2,156","1,339",9,1,0,17,60.2%,4/35
8,Foles,STL,-353,-428,37,-27.9%,37,-31.4%,30.0,37,350,"1,944","1,219",7,2,2,10,56.9%,4/109
