,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,NY/A,ANY/A,Sk%,4QC,GWD
0,Stafford,DET,23,QB,16,16,10-6-0,421,663,63.5,5038,41,6.2,16,2.4,243,73,7.6,7.7,12.0,314.9,97.2,61.6,36,257,6.84,6.98,5.2,3.0,4.0
1,Brees,NOR,32,QB,16,16,13-3-0,468,657,71.2,5476,46,7.0,14,2.1,279,79,8.3,8.8,11.7,342.3,110.6,83.0,24,158,7.81,8.23,3.5,3.0,4.0
2,Brady,NWE,34,QB,16,16,13-3-0,401,611,65.6,5235,39,6.4,12,2.0,262,99,8.6,9.0,13.1,327.2,105.6,75.2,32,173,7.87,8.25,5.0,1.0,2.0
3,Manning,NYG,30,QB,16,16,9-7-0,359,589,61.0,4933,29,4.9,16,2.7,218,99,8.4,8.1,13.7,308.3,92.9,64.0,28,199,7.67,7.45,4.5,5.0,6.0
4,Rivers,SDG,30,QB,16,16,8-8-0,366,582,62.9,4624,27,4.6,20,3.4,234,58,7.9,7.3,12.6,289.0,88.7,64.1,30,198,7.23,6.64,4.9,1.0,1.0
5,Fitzpatrick,BUF,29,QB,16,16,6-10-0,353,569,62.0,3832,24,4.2,23,4.0,179,60,6.7,5.8,10.9,239.5,79.1,50.5,22,148,6.23,5.29,3.7,2.0,2.0
6,Ryan,ATL,26,QB,16,16,10-6-0,347,566,61.3,4177,29,5.1,12,2.1,208,80,7.4,7.5,12.0,261.1,92.2,69.1,26,173,6.76,6.83,4.4,3.0,3.0
7,Freeman,TAM,23,QB,15,15,4-11-0,346,551,62.8,3592,16,2.9,22,4.0,170,65,6.5,5.3,10.4,239.5,74.6,46.7,29,164,5.91,4.76,5.0,1.0,2.0
8,Sanchez,NYJ,25,QB,16,16,8-8-0,308,543,56.7,3474,26,4.8,18,3.3,172,74,6.4,5.9,11.3,217.1,78.2,44.1,39,243,5.55,5.05,6.7,4.0,4.0
9,Flacco,BAL,26,QB,16,16,12-4-0,312,542,57.6,3610,20,3.7,12,2.2,180,74,6.7,6.4,11.6,225.6,80.9,62.5,31,203,5.95,5.7,5.4,2.0,3.0
10,Romo,DAL,31,QB,16,16,8-8-0,346,522,66.3,4184,31,5.9,10,1.9,203,77,8.0,8.3,12.1,261.5,102.5,69.5,36,227,7.09,7.4,6.5,4.0,4.0
11,Hasselbeck,TEN,36,QB,16,16,9-7-0,319,518,61.6,3571,18,3.5,14,2.7,163,80,6.9,6.4,11.2,223.2,82.4,51.4,19,153,6.36,5.86,3.5,2.0,3.0
12,Newton,CAR,22,QB,16,16,6-10-0,310,517,60.0,4051,21,4.1,17,3.3,176,91,7.8,7.2,13.1,253.2,84.5,58.1,35,260,6.87,6.24,6.3,1.0,1.0
13,Dalton,CIN,24,QB,16,16,9-7-0,300,516,58.1,3398,20,3.9,13,2.5,151,84,6.6,6.2,11.3,212.4,80.4,46.9,24,160,6.0,5.65,4.4,4.0,4.0
14,Roethlisberger,PIT,29,QB,15,15,11-4-0,324,513,63.2,4077,21,4.1,14,2.7,210,95,7.9,7.5,12.6,271.8,90.1,65.0,40,269,6.89,6.51,7.2,1.0,1.0
15,Rodgers,GNB,28,QB,15,15,14-1-0,343,502,68.3,4643,45,9.0,6,1.2,209,93,9.2,10.5,13.5,309.5,122.5,84.5,36,219,8.22,9.39,6.7,0.0,1.0
16,McCoy,CLE,25,QB,13,13,4-9-0,265,463,57.2,2733,14,3.0,11,2.4,142,56,5.9,5.4,10.3,210.2,74.6,44.4,32,173,5.17,4.74,6.5,1.0,3.0
17,Grossman,WAS,31,QB,13,13,5-8-0,265,458,57.9,3151,16,3.5,20,4.4,161,51,6.9,5.6,11.9,242.4,72.4,42.7,25,201,6.11,4.91,5.2,2.0,2.0
19,Smith,SFO,27,QB,16,16,13-3-0,273,445,61.3,3144,17,3.8,5,1.1,145,56,7.1,7.3,11.5,196.5,90.7,53.0,44,263,5.89,6.13,9.0,5.0,5.0
22,Bradford,STL,24,QB,10,10,1-9-0,191,357,53.5,2164,6,1.7,6,1.7,104,68,6.1,5.6,11.3,216.4,70.5,30.5,36,248,4.88,4.49,9.2,1.0,1.0
23,Moore,MIA,27,QB,13,12,6-6-0,210,347,60.5,2497,16,4.6,9,2.6,122,65,7.2,7.0,11.9,192.1,87.1,57.2,36,229,5.92,5.7,9.4,1.0,1.0
24,Palmer,OAK,32,QB,10,9,4-5-0,199,328,60.7,2753,13,4.0,16,4.9,123,78,8.4,7.0,13.8,275.3,80.5,55.7,17,119,7.63,6.3,4.9,0.0,1.0
25,Cutler,CHI,28,QB,10,10,7-3-0,182,314,58.0,2319,13,4.1,7,2.2,107,56,7.4,7.2,12.7,231.9,85.7,63.6,23,159,6.41,6.25,6.8,1.0,1.0
26,Schaub,HOU,30,QB,10,10,7-3-0,178,292,61.0,2479,15,5.1,6,2.1,118,80,8.5,8.6,13.9,247.9,96.8,72.9,16,98,7.73,7.83,5.2,0.0,1.0
27,Ponder,MIN,23,QB,11,10,2-8-0,158,291,54.3,1853,13,4.5,13,4.5,92,72,6.4,5.3,11.7,168.5,70.1,33.4,30,164,5.26,4.25,9.3,0.0,1.0
28,Skelton,ARI,23,qb,8,7,5-2-0,151,275,54.9,1913,11,4.0,14,5.1,81,60,7.0,5.5,12.7,239.1,68.9,34.9,23,162,5.88,4.5,7.7,4.0,5.0
29,Tebow,DEN,24,QB,14,11,7-4-0,126,271,46.5,1729,12,4.4,6,2.2,77,56,6.4,6.3,13.7,123.5,72.9,39.6,33,225,4.95,4.85,10.9,5.0,5.0
30,Cassel,KAN,29,QB,9,9,4-5-0,160,269,59.5,1713,10,3.7,9,3.3,84,52,6.4,5.6,10.7,190.3,76.6,54.7,22,120,5.47,4.77,7.6,1.0,2.0
31,Kolb,ARI,27,QB,9,9,3-6-0,146,253,57.7,1955,9,3.6,8,3.2,87,73,7.7,7.0,13.4,217.2,81.1,34.0,30,219,6.13,5.5,10.6,2.0,1.0
34,Orlovsky,IND,28,qb,8,5,2-3-0,122,193,63.2,1201,6,3.1,4,2.1,71,40,6.2,5.9,9.8,150.1,82.4,44.3,14,84,5.4,5.11,6.8,1.0,1.0
35,Campbell,OAK,30,qb,6,6,4-2-0,100,165,60.6,1170,6,3.6,4,2.4,56,58,7.1,6.7,11.7,195.0,84.2,55.1,5,19,6.77,6.42,2.9,1.0,1.0
38,Yates,HOU,24,qb,6,5,2-3-0,82,134,61.2,949,3,2.2,3,2.2,48,50,7.1,6.5,11.6,158.2,80.7,43.6,15,74,5.87,5.37,10.1,1.0,2.0
