
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rank,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
T.Brady,NE,"2,035",1,"1,910",2,35.1%,1,32.3%,77.1,2,662,"4,623","6,312",34,2,0,8,63.5%,14/220
P.Manning,DEN,"1,805",2,"1,956",1,32.8%,2,36.5%,84.1,1,602,"4,526","5,751",37,0,2,11,69.0%,11/177
D.Brees,NO,"1,441",3,"1,397",3,19.8%,5,18.9%,67.9,9,693,"4,914","5,711",43,3,1,18,63.7%,4/50
A.Rodgers,GB,"1,395",4,"1,276",5,23.4%,4,20.4%,72.5,5,602,"4,016","5,156",39,1,4,8,67.7%,9/178
M.Ryan,ATL,"1,196",5,"1,315",4,16.5%,8,19.2%,74.5,4,644,"4,502","5,106",32,1,2,14,68.6%,6/60
M.Stafford,DET,"1,160",6,891,7,12.2%,12,6.8%,58.9,15,753,"4,766","5,576",20,1,3,17,60.2%,7/140
T.Romo,DAL,"1,156",7,"1,036",6,14.8%,10,12.1%,62.7,13,683,"4,635","5,146",28,1,3,19,66.1%,7/124
R.Wilson,SEA,872,8,741,12,19.7%,6,15.0%,69.6,8,432,"2,935","3,467",26,3,3,9,64.6%,6/122
B.Roethlisberger,PIT,761,9,764,11,13.2%,11,13.3%,62.8,12,473,"3,068","3,558",25,1,2,8,64.3%,4/41
E.Manning,NYG,753,10,779,10,9.0%,13,9.7%,67.4,10,555,"3,785","4,032",26,2,1,15,60.1%,12/232
R.Griffin,WAS,727,11,811,9,16.6%,7,19.8%,71.4,6,425,"2,961","3,104",20,2,0,5,66.6%,5/91
M.Schaub,HOU,697,12,882,8,7.5%,14,12.5%,62.6,14,572,"3,811","3,958",22,4,0,12,64.3%,7/121
C.Kaepernick,SF,555,13,462,13,25.8%,3,19.6%,76.8,3,234,"1,687","1,957",10,2,0,3,62.7%,2/43
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rank,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
C.Newton,CAR,422,14,422,15,2.0%,15,2.0%,54.2,16,521,"3,621","3,186",19,5,1,12,58.1%,6/43
A.Smith,SF,418,15,365,18,14.8%,9,11.5%,70.1,7,243,"1,610","1,866",13,0,1,5,70.3%,4/35
S.Bradford,STL,388,16,245,20,-0.8%,16,-4.6%,51.6,21,580,"3,457","3,545",21,4,1,12,60.4%,3/59
J.Flacco,BAL,358,17,403,16,-1.3%,17,-0.1%,46.8,25,566,"3,589","3,419",22,2,3,10,59.7%,9/119
C.Palmer,OAK,340,18,447,14,-2.2%,18,0.6%,44.7,29,592,"3,820","3,535",22,2,5,14,61.7%,9/158
A.Luck,IND,257,19,366,17,-5.1%,19,-2.6%,65.0,11,662,"4,089","3,793",23,5,5,17,55.0%,14/250
A.Dalton,CIN,194,20,339,19,-5.9%,20,-1.9%,50.7,22,571,"3,422","3,236",27,0,4,15,62.8%,5/85
C.Ponder,MIN,173,21,66,25,-6.1%,21,-9.2%,53.8,17,516,"2,747","3,012",18,1,4,12,62.2%,7/143
P.Rivers,SD,138,22,124,23,-7.3%,22,-7.7%,40.6,31,576,"3,266","3,122",26,7,7,14,64.7%,5/78
