
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
P.Manning,DEN,"2,475",1,"2,674",1,43.2%,1,47.5%,82.9,2,679,"5,347","7,040",55,3,5,10,68.5%,12/176
P.Rivers,SD,"1,799",2,"1,884",2,34.8%,3,37.0%,71.7,3,575,"4,363","5,599",32,1,2,11,69.6%,13/197
D.Brees,NO,"1,701",3,"1,550",3,26.9%,5,23.6%,70.5,4,687,"4,906","5,916",39,3,2,12,68.9%,4/66
M.Ryan,ATL,"1,124",4,825,8,13.3%,9,6.8%,61.1,10,695,"4,195","5,228",26,0,4,16,67.7%,10/151
N.Foles,PHI,"1,011",5,"1,111",4,35.6%,2,40.2%,69.0,5,347,"2,690","3,117",27,2,2,2,64.4%,2/55
T.Brady,NE,979,6,859,6,10.9%,11,8.2%,61.1,11,665,"4,065","4,913",25,4,2,10,61.0%,13/223
T.Romo,DAL,839,7,898,5,11.5%,10,13.1%,59.5,12,572,"3,556","4,120",31,3,1,9,64.2%,7/81
C.Kaepernick,SF,791,8,650,13,16.6%,7,11.7%,68.6,7,456,"2,969","3,358",21,1,3,7,58.4%,5/92
R.Wilson,SEA,770,9,699,12,15.6%,8,13.1%,58.9,13,453,"3,070","3,364",26,5,5,8,64.0%,6/142
A.Rodgers,GB,740,10,762,11,25.4%,6,26.4%,68.7,6,310,"2,413","2,644",18,3,0,6,66.8%,2/37
B.Roethlisberger,PIT,724,11,764,10,6.6%,12,7.6%,54.3,19,621,"3,981","4,267",28,1,5,14,64.9%,4/97
M.Stafford,DET,690,12,838,7,4.9%,15,8.3%,52.6,20,658,"4,431","4,402",29,3,4,19,59.1%,6/64
J.McCown,CHI,659,13,773,9,32.1%,4,39.6%,85.1,1,236,"1,786","2,124",13,1,1,1,66.7%,1/19
A.Luck,IND,650,14,623,14,4.6%,16,3.9%,62.0,9,606,"3,612","4,213",23,3,2,9,60.5%,13/238
C.Palmer,ARI,547,15,361,19,2.7%,17,-2.0%,51.9,21,614,"3,966","3,922",24,3,3,22,63.7%,13/207
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
A.Dalton,CIN,541,16,612,15,2.3%,18,4.1%,55.8,17,615,"4,088","3,976",33,1,3,20,62.2%,6/137
C.Newton,CAR,421,17,321,20,1.7%,19,-1.3%,56.2,16,513,"3,040","3,198",24,0,1,13,62.1%,6/55
J.Cutler,CHI,392,18,423,16,5.5%,13,6.8%,66.4,8,371,"2,481","2,437",19,1,3,11,64.1%,2/34
S.Bradford,STL,304,19,387,18,5.2%,14,9.7%,48.0,26,277,"1,602","1,910",14,1,1,4,60.7%,5/124
A.Smith,KC,262,20,416,17,-3.7%,21,0.7%,49.4,24,545,"3,080","3,194",23,3,3,7,61.2%,11/122
R.Fitzpatrick,TEN,179,21,112,22,-3.6%,20,-6.4%,55.4,18,369,"2,359","2,147",14,5,2,12,62.5%,1/8
M.Glennon,TB,99,22,-73,31,-7.7%,26,-13.6%,45.6,30,459,"2,260","2,490",19,2,3,9,59.8%,11/198
M.Cassel,MIN,92,23,-7,29,-5.9%,23,-11.5%,48.7,25,271,"1,718","1,539",11,2,1,9,60.2%,2/36
J.Locker,TEN,69,24,130,21,-5.7%,22,-0.9%,58.1,15,199,"1,139","1,116",8,1,0,4,61.0%,2/45
K.Clemens,STL,60,25,-133,35,-7.5%,25,-19.1%,38.2,34,262,"1,526","1,424",8,3,2,7,58.9%,3/17
R.Tannehill,MIA,54,26,22,27,-9.8%,27,-10.6%,45.8,29,643,"3,508","3,419",24,3,4,17,60.8%,3/44
M.Vick,PHI,40,27,49,25,-6.9%,24,-6.0%,58.7,14,157,"1,098",819,5,2,2,3,55.0%,0/0
B.Hoyer,CLE,5,28,27,26,-10.4%,28,-7.2%,47.5,27,103,553,546,5,0,0,3,60.4%,0/0
M.McGloin,OAK,-11,29,62,24,-11.9%,29,-6.7%,49.7,23,219,"1,495","1,111",8,3,1,8,55.9%,4/84
J.Campbell,CLE,-24,30,-80,32,-12.2%,30,-14.8%,38.6,33,332,"1,912","1,715",11,1,2,8,57.1%,2/32
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
C.Ponder,MIN,-42,31,19,28,-13.5%,32,-10.1%,51.2,22,267,"1,523","1,356",7,1,3,9,63.8%,4/121
R.Griffin,WAS,-60,32,98,23,-13.1%,31,-8.0%,40.1,32,495,"2,912","2,423",16,4,3,12,60.8%,2/11
T.Lewis,BUF,-84,33,-138,36,-18.7%,36,-23.5%,24.1,43,176,990,785,4,4,1,3,59.2%,0/0
C.Henne,JAC,-94,34,-149,37,-13.9%,33,-15.5%,31.9,39,541,"2,972","2,623",13,2,0,14,61.0%,5/88
M.Schaub,HOU,-123,35,-115,34,-16.2%,34,-15.9%,37.3,35,380,"2,128","1,796",10,1,1,14,61.3%,5/82
J.Freeman,2TM,-176,36,-208,40,-29.7%,42,-33.1%,6.1,44,156,696,524,2,1,1,4,42.9%,1/22
EJ Manuel,BUF,-190,37,-87,33,-19.9%,37,-15.2%,42.3,31,335,"1,814","1,486",11,2,3,9,59.2%,9/114
C.Keenum,HOU,-191,38,-201,38,-22.4%,39,-22.9%,34.5,38,270,"1,550","1,111",9,3,3,6,55.2%,1/7
M.Flynn,2TM,-196,39,-29,30,-24.5%,41,-13.1%,3.1,45,225,"1,253",917,8,0,4,5,62.0%,3/74
J.Flacco,BAL,-296,40,-242,41,-18.1%,35,-16.9%,46.7,28,661,"3,579","3,005",19,6,2,22,59.1%,14/295
K.Cousins,WAS,-314,41,-300,42,-42.6%,45,-41.2%,26.5,41,160,820,376,4,1,2,7,52.9%,0/0
E.Manning,NYG,-335,42,-202,39,-20.2%,38,-16.6%,36.5,36,590,"3,471","2,529",18,3,1,26,58.1%,11/190
G.Smith,NYJ,-371,43,-434,45,-23.6%,40,-25.7%,35.9,37,485,"2,739","1,888",12,1,3,21,55.9%,5/96
T.Pryor,OAK,-388,44,-398,43,-31.6%,43,-32.1%,30.5,40,304,"1,542",999,8,3,2,11,58.0%,2/28
B.Weeden,CLE,-443,45,-429,44,-36.1%,44,-35.4%,24.7,42,293,"1,535",824,9,4,2,9,53.2%,1/23
