
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
T.Brady,NE,"1,595",1,"1,621",1,27.8%,2,28.4%,70.6,4,617,"4,366","5,468",32,3,3,8,66.4%,12/287,2.9
P.Rivers,LACH,"1,412",2,"1,505",2,26.1%,4,28.6%,61.1,13,594,"4,342","4,975",28,6,1,9,63.3%,16/231,0.9
D.Brees,NO,"1,390",3,"1,402",3,27.4%,3,27.7%,62.5,11,555,"4,171","4,794",23,3,0,8,72.6%,3/12,-0.2
C.Keenum,MIN,"1,293",4,"1,307",4,28.1%,1,28.5%,72.8,3,503,"3,403","4,420",22,0,1,7,67.6%,14/284,0.4
B.Roethlisberger,PIT,"1,270",5,"1,247",5,21.8%,8,21.2%,66.6,7,580,"4,112","4,834",28,2,1,14,64.6%,14/299,2.4
J.Goff,LARM,"1,125",6,"1,041",8,24.0%,5,21.3%,55.7,18,500,"3,619","4,090",28,5,2,7,62.6%,8/161,0.2
M.Ryan,ATL,"1,084",7,"1,076",6,19.1%,9,18.9%,67.1,6,552,"3,917","4,360",20,1,2,12,65.1%,6/76,1.2
C.Wentz,PHI,"1,047",8,934,9,23.8%,6,20.0%,78.5,2,471,"3,100","3,837",33,4,2,7,60.5%,7/181,3.7
A.Smith,KC,"1,026",9,"1,071",7,18.3%,10,19.6%,65.1,10,541,"3,840","4,203",26,1,1,5,67.7%,4/46,0.7
M.Stafford,DET,"1,004",10,913,10,14.9%,11,12.5%,65.2,9,613,"4,149","4,485",29,5,5,10,65.8%,9/193,2.1
J.Winston,TB,779,11,684,12,14.3%,12,11.2%,52.0,20,474,"3,288","3,522",19,2,7,11,64.2%,5/90,3.2
D.Carr,OAK,709,12,721,11,9.7%,13,10.0%,50.5,22,534,"3,399","3,692",22,2,2,11,62.8%,10/213,1.4
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
R.Wilson,SEA,530,13,564,14,2.9%,15,3.8%,61.9,12,598,"3,586","3,762",34,6,4,11,62.5%,9/134,1.5
D.Watson,HOU,497,14,529,15,23.1%,7,25.2%,83.5,1,221,"1,583","1,851",19,1,1,6,62.4%,8/173,2.1
B.Bortles,JAC,408,15,597,13,0.3%,16,5.7%,59.2,14,547,"3,552","3,417",21,4,3,13,60.3%,9/153,0.7
K.Cousins,WAS,395,16,318,17,-0.6%,18,-2.7%,56.0,17,586,"3,709","3,565",27,6,4,13,64.6%,6/113,0.7
D.Prescott,DAL,375,17,322,16,-0.2%,17,-1.7%,69.9,5,520,"3,139","3,257",22,1,3,13,63.1%,10/193,0.5
A.Rodgers,GB,334,18,308,18,7.8%,14,6.3%,66.0,8,259,"1,513","1,872",16,0,1,6,65.0%,6/65,3.9
M.Mariota,TEN,236,19,262,21,-3.3%,20,-2.4%,58.6,15,479,"3,059","2,745",13,0,0,15,62.2%,3/42,2.3
C.Palmer,ARI,145,20,276,19,-3.2%,19,3.9%,50.0,23,289,"1,828","1,666",10,0,0,7,61.4%,7/97,0.3
C.Newton,CAR,141,21,197,22,-6.9%,21,-5.2%,51.5,21,525,"3,059","2,872",22,4,0,15,59.5%,8/117,2.5
T.Taylor,BUF,121,22,263,20,-7.0%,22,-2.1%,56.4,16,467,"2,540","2,503",14,1,2,4,62.7%,5/103,1.2
E.Manning,NYG,117,23,-1,26,-8.2%,23,-11.2%,47.5,24,602,"3,270","3,373",19,5,5,13,61.6%,4/51,1.9
A.Dalton,CIN,87,24,75,24,-8.6%,24,-9.0%,44.8,27,536,"3,061","2,894",25,0,4,12,60.3%,10/121,2.2
Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
J.McCown,NYJ,62,25,133,23,-8.9%,25,-6.3%,55.6,19,437,"2,659","2,313",18,5,4,9,68.4%,4/55,0.0
J.Cutler,MIA,35,26,63,25,-9.9%,26,-8.9%,43.5,28,451,"2,533","2,343",19,4,0,14,62.1%,4/83,0.1
B.Hoyer,2TM,-80,27,-111,28,-16.7%,28,-18.8%,35.3,32,228,"1,154","1,055",4,0,1,4,59.0%,3/40,0.1
J.Brissett,IND,-105,28,-178,30,-14.4%,27,-16.6%,43.3,29,518,"2,774","2,464",13,3,2,7,59.5%,2/70,0.3
M.Trubisky,CHI,-119,29,-176,29,-16.8%,29,-19.5%,32.4,34,362,"1,981","1,542",7,4,2,7,59.8%,3/30,-2.4
C.J.Beathard,SF,-176,30,-271,33,-23.1%,31,-29.6%,35.4,31,243,"1,286",944,4,1,2,6,55.6%,0/0,1.3
T.Savage,HOU,-249,31,-252,32,-27.5%,33,-27.6%,41.7,30,243,"1,255",896,5,1,7,6,56.6%,7/92,2.2
J.Flacco,BAL,-301,32,-102,27,-19.3%,30,-13.9%,46.7,25,574,"2,924","2,552",18,4,0,13,64.6%,4/72,0.5
T.Siemian,DEN,-327,33,-242,31,-24.6%,32,-21.1%,30.9,35,382,"2,063","1,524",12,2,2,14,59.0%,8/136,1.7
B.Hundley,GB,-396,34,-517,34,-28.3%,34,-33.5%,44.8,26,347,"1,607","1,318",9,1,1,12,61.1%,4/87,2.0
D.Kizer,CLE,-756,35,-889,35,-34.5%,35,-38.6%,32.6,33,514,"2,679","1,580",11,1,5,20,53.8%,8/131,1.2
